post_id,post_type,likes,comments,shares,date_posted,hashtags
171,Reel,564,55,40,2024-12-16,"#cityscape, #photography"
172,Carousel,165,15,42,2024-12-17,"#minimalism, #randomthoughts"
173,Reel,579,49,21,2024-12-18,"#wildlife, #bloom"
174,Reel,686,41,21,2024-12-19,"#books, #style"
175,Static Image,370,18,18,2024-12-20,"#views, #relax"
176,Carousel,510,100,26,2024-12-21,"#adventure, #quotes"
177,Static Image,650,28,16,2024-12-22,"#progress, #landscape"
178,Static Image,643,95,4,2024-12-23,"#challenge, #cute"
179,Reel,647,70,33,2024-12-24,"#bloom, #pets"
180,Carousel,260,93,31,2024-12-25,"#bloom, #goals"
181,Static Image,225,88,6,2024-12-26,"#pets, #foodie"
182,Reel,488,89,33,2024-12-27,"#workout, #fitness"
183,Reel,142,95,27,2024-12-28,"#pets, #architecture"
184,Carousel,318,79,44,2024-12-29,"#beach, #bloom"
185,Reel,334,25,32,2024-12-30,"#minimalism, #sunset"
186,Reel,56,29,23,2024-12-31,"#goals, #viral"
187,Reel,639,96,27,2024-12-01,"#cute, #wildlife"
188,Carousel,356,79,36,2024-12-02,"#cityscape, #workout"
189,Reel,390,17,6,2024-12-03,"#bloom, #books"
190,Reel,616,56,47,2024-12-04,"#pets, #aesthetic"
191,Carousel,544,55,33,2024-12-05,"#viral, #foodie"
192,Static Image,211,51,40,2024-12-06,"#views, #wildlife"
193,Reel,462,27,30,2024-12-07,"#quotes, #aesthetic"
194,Carousel,442,74,30,2024-12-08,"#art, #flowers"
195,Static Image,265,81,12,2024-12-09,"#music, #funnyfails"
196,Reel,547,83,28,2024-12-10,"#memes, #travel"
197,Static Image,585,91,37,2024-12-11,"#views, #flowers"
198,Carousel,206,72,49,2024-12-12,"#selfcare, #viral"
199,Carousel,479,79,15,2024-12-13,"#fashion, #reading"
200,Static Image,177,67,27,2024-12-14,"#fitness, #books"
